,formatted_count,lat,level,lid,lon,message,message_ranges,name,preview_image,profile_picture,publisher_category,r_time,start_time,u_profile,v_height,v_width,video_id,viewer_count
0,21,14.5754498774,0,6348938444244652573,120.971382808,- Richie,"[{u'length': 6, u'entity': None, u'offset': 2}]",Richie O. Sacil,https://scontent.xx.fbcdn.net/v/t15.0-10/s640x640/14926467_135827483559679_451472543950307328_n.jpg?oh=c893b3301af6f2b0524a689196f2640c&oe=58897492,https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/14650562_111050662704028_7709404817934444245_n.jpg?oh=b5e76cd691171fccc788a2f3301b5792&oe=58982930,,1478227425.21,1478226287,,360,640,135807590228335,21.0
0,23,14.5277239851,0,6348939451600217513,121.024302386,- Richie,"[{u'length': 6, u'entity': None, u'offset': 2}]",Richie O. Sacil,https://scontent.xx.fbcdn.net/v/t15.0-10/s640x640/14900072_135828586892902_4917327530572120064_n.jpg?oh=e45037b8cd3e8e72e0a27a9c306adf5e&oe=5891FD48,https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/14650562_111050662704028_7709404817934444245_n.jpg?oh=b5e76cd691171fccc788a2f3301b5792&oe=58982930,,1478227659.57,1478226287,,360,640,135807590228335,23.0
0,25,14.5101289015,0,6348939788199389175,120.957325816,- Richie,"[{u'length': 6, u'entity': None, u'offset': 2}]",Richie O. Sacil,https://scontent.xx.fbcdn.net/v/t15.0-10/s640x640/14926421_135829086892852_8296657878383591424_n.jpg?oh=bfe2dfce847388a02083805500763aa6&oe=5899149C,https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/14650562_111050662704028_7709404817934444245_n.jpg?oh=b5e76cd691171fccc788a2f3301b5792&oe=58982930,,1478227737.91,1478226287,,360,640,135807590228335,25.0
