,comment_count,is_live_streaming,is_live_vod,is_page,lid,like_count,location,owner_id,owner_name,post_id,r_time,server_time,share_count,source,video_link
0,10,True,False,False,6348939581135251204,11,newsstand,100013972838672,Richie O. Sacil,135807590228335,1478227689.71,1478227689,1,32,/tuzkie900/videos/135807590228335/
0,11,True,False,False,6348939907276064202,11,newsstand,100013972838672,Richie O. Sacil,135807590228335,1478227765.84,1478227765,1,32,/tuzkie900/videos/135807590228335/
